Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(1),Data e nënshkrimit të Aneks kontratës(1),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(2),Data e nënshkrimit të Aneks kontratës(2),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(3),Data e nënshkrimit të Aneks kontratës(3),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(4),Data e nënshkrimit të Aneks kontratës(4),Data e pagesës së situacionit(1),Shuma e pagesës së situacionit(1),Data e pagesës së situacionit(2),Shuma e pagesës së situacionit(2),Data e pagesës së situacionit(3),Shuma e pagesës së situacionit(3),Data e pagesës së situacionit(4),Shuma e pagesës së situacionit(4),Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
1,1,22,5,2,1,45,"Rikonstruksioni i dyshemeve , gëlqerosja dhe rikonstruimi i nyjeve sanitare ne Intstitucionet ArsimoreLOT -II",11.12.17,12.12.17,26.04.18,02.05.18,,,25.05.18,74,15,,2,06.07.18,17.07.18,,23.07.18,,0,"250,000.00",1,1,1,,4,Euro Construction,20.07.18,12 Muaj,,"69,659.90",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Albina Bajrami
1,1,22,5,2,1,43,"Rikonstruksioni i dyshemeve , gëlqerosja dhe rikonstruimi i nyjeve sanitare ne Intstitucionet ArsimoreLOT -III",11.12.17,12.12.17,26.04.18,02.05.18,,,25.05.18,74,15,,2,06.07.18,17.07.18,,23.07.18,,0,"250,000.00",1,1,1,,4,Lindi,20.07.18,12 Muaj,,"48,000.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Shqipe Isufi
,1,50,1,2,1,30,Furnizimi me paisje të IT-së për vitin 2018- Ritender -Lot 2,23.03.18,11.04.18,10.04.18,16.04.18,,,06.08.18,41,6,,4,07.09.18,02.10.18,,30.08.18,0,0,"95,000.00",1,1,1,Po,4,EuroPrinty,05.10.18,90 Ditë,,"23,179.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Albina Bajrami
,,75,1,2,1,45,"Furnizimi dhe montimi i totemave, sinjalizuesve turistik-ritender",27.08.18,07.06.18,23.06.18,28.08.18,,,19.09.18,23,2,,0,10.10.18,10.10.18,,30.09.18,0,0,"25,000.00",1,1,1,Po,4,Grafo-Loni,18.10.18,30 Ditë,,"24,870.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Verona Sekiraqa 
1,1,80,5,2,1,45,Zgjerimi dhe modernizimi i rrjetit të ndriçimit publik në zonat e qytetit dhe rurale - Faza II,18.06.18,28.06.18,25.06.18,13.07.18,,,10.08.18,26,9,,1,25.08.18,05.09.18,,26.08.18,0,0,"135,000.00",1,1,1,,4,Niti,10.09.18,12 Muaj,,"58,827.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Albina Bajrami
1,1,106,5,2,1,45,Rekonstruimi i  rrugës dhe trotuareve në rrugën Vëllezërit Fazliu,11.07.18,07.08.18,07.08.18,20.08.18,,,14.09.18,38,3,,2,07.10.18,16.10.18,,09.10.18,0,0,"449,010.09",1,1,1,,4,Gerlica Company,19.10.18,120 Ditë,,"378,558.58",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Shqipe Isufi
1,1,112,2,2,1,93,Mirëmbajtja e pajisjeve mjekësore ,08.08.18,13.08.18,06.09.18,10.09.18,,,01.10.18,25,1,,0,16.10.18,17.10.18,,14.10.18,0,0,"59,000.00",1,1,1,jo,4,Mam,23.10.18,36 Muaj,,"9,536.16",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Nexhmi Mekolli
1,1,94,2,2,1,74,"Hartimi i projekteve për objekte, plotësim i objekteve për projekt dhe shqyrtim i konstruksionit nga aspekti i stabilitetit dhe funksionalitetit",22.06.18,04.07.18,01.08.18,19.10.18,,,05.09.18,26,4,,0,19.10.18,22.10.18,,10.10.18,0,0,"60,000.00",1,1,1,jo,4,Rimi Eng,26.10.18,12 Muaj,26.10.19,"47,908.00",12,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Nexhmi Mekolli
,,107,2,1,2,74,Hartimi i projekteve për implementimin e standardit për siguri dhe mbrojtje të lëndës arkivore,22.08.18,12.07.18,11.07.18,23.08.18,,,14.09.18,13,2,,0,01.10.18,11.10.18,,03.10.18,0,0,"10,000.00",1,1,1,,4,"Grup i Operatorëve Ekonomik: "" CALL - HOME ELEKTRONICS "" SH.P.K.; "" Advanced Group of Architecture ""  SH.P.K.",15.10.18,60 Ditë,,"4,400.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Verona Sekiraqa 
,,111,1,3,,,"Ndërtimi i Konstruksioneve metalike për përvjetorin e arkitektit ""Rexhep Luci""",24.08.18,24.08.18,03.09.18,04.09.18,,,13.09.18,21,5,,1,24.09.18,01.10.18,,24.09.18,,,"7,090.62",1,1,1,,4,MBB Construction,03.10.18,10 Ditë,,"3,870.40",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Shehide Jashari
,1+2,120,5,2,1,45,Ndërtimi i parkut  Dielli tek kompleksi i Banesave të Bardha,10.10.18,05.10.18,04.10.18,18.10.18,,,14.11.18,43,4,,0,,,,,,,"88,015.20",1,1,1,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Verona Sekiraqa 
,,121,5,2,1,45,Riparimi i shkallëve përreth ndërtesave kolektive ,15.10.18,07.08.18,11.10.18,16.10.18,,,13.11.18,53,5,,1,24.11.18,04.12.18,,25.11.18,0,0,"70,000.00",1,1,1,,4,Rexha ,07.12.18,90 Ditë,,"47,939.80",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Valmire Mustafa
,,123,1,1,1,,Furnizim me material shpenzues për shërbime stomatologjike ,16.10.18,25.09.18,15.10.18,16.10.18,,,09.11.18,2,2,,0,25.09.18,20.12.18,,03.12.18,0,0,"246,500.00",1,1,1,,4,"""Matkos Pharm"" Sh.p.k",17.12.18,36 Muaj,17.12.21,"169,755.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Flamur Sallahu
,,125,2,1,1,,Pastrimi i objekteve shkollore,05.10.18,09.10.18,22.10.18,23.10.18,,,10.12.18,36,11,,4,,01.02.19,,,,,"228,000.00",1,1,1,,1,Beni,04.02.19,12 Muaj,,"147,916.42",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Albina Bajrami
2,1,127,5,3,6,45,Ndërtimi i hyrjes Kino Armata,04.10.18,04.10.18,03.10.18,31.10.18,,,09.11.18,19,5,,0,24.11.18,29.11.18,,22.11.18,0,0,"9,000.00",1,1,1,,4,Ero Project,03.12.18,10 Ditë,,"6,957.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Kaltrina Dalipi
2,1,129,2,2,1,,Mirëmbajtja e ngrohjes qendrore në shkollat dhe institucionet tjera komunale,25.10.18,12.09.18,21.10.18,25.10.18,,,23.11.18,19,3,,1,11.12.18,08.01.19,,27.12.18,0,0,"50,000.00",1,1,1,,4,Raketa,09.01.19,12 ,09.01.20,"12,506.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Valmire Mustafa
2,1,130,5,2,1,,Deponia e mbeturinave prapa Shkollës Model ,27.10.18,20.08.18,28.10.18,29.10.18,,,21.11.18,5,5,,0,20.08.18,07.12.18,,28.11.18,0,0,"24,370.00",1,1,1,,4,"N.P.N. ""LINDI""",07.12.18,60 Ditë,07.02.19,"17,588.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Flamur Sallahu
1,1,131,5,2,1,45,Sinjalizimi horizontal dhe vertikal i rrugëve - faza e II-të 2018,24.07.18,07.08.18,06.08.18,16.12.18,1,,09.01.19,23,4,,1,19.02.19,28.02.19,,13.02.19,1,0,"50,000.00",1,1,1,Po,4,Sinjal Sh.P.K,05.03.19,12 Muaj,,"50,000.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Nexhmi Mekolli
,,132,1,3,6,,Furnizimi me perde për institucionet arsimore ,31.10.18,11.09.18,30.10.18,31.10.18,,,08.11.18,17,4,,0,05.12.18,18.12.18,,10.12.18,,,"5,000.00",1,1,,,4,"N.P.T ""Arhing""",26.12.18,15 Ditë,,"3,320.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Shehide Jashari
2,1,102,1,1,1,,Furnizime për zyre me material  të shtypur dhe materiale tjera që nuk janë të paraqitura në listën e AQP,31.07.18,01.08.18,12.08.18,15.08.18,,,28.09.18,21,5,,2,24.10.18,01.11.18,,25.10.18,0,0,"171,000.00",1,1,1,,4,Blendi,07.11.18,36 Muaj,07.11.21,"146,009.70",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Shqipe Isufi
,,97,1,3,6,45,"Furnizimi dhe montimi i kaldasë së shkollës ""Mehmet Xhevori""",08.10.18,07.10.18,06.10.18,08.10.18,,,19.10.18,17,4,,0,31.10.18,06.11.18,,30.10.18,0,0,"9,800.00",1,1,1,jo,4,Termo Consig,09.11.18,30 Ditë,,"8,333.00",1,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Verona Sekiraqa 
,1,89,5,2,1,,Ndërtimi i këndeve dhe fushave sportive në Komunën e Prishtinës,12.09.18,04.09.18,03.09.18,12.09.18,,,08.10.18,4,4,,1,04.09.18,08.11.18,,29.10.18,0,0,"450,000.00",1,1,1,,4,Grup i Operatorëve Ekonomik: Ulpiana & Daqa,13.11.18,3 Muaj,13.02.18,"341,717.45",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Flamur Sallahu
1,1,90,1,1,1,33,Furnizimi me pajisje mjekësore për QKMF dhe  QMU-lloto I,24.07.18,20.04.18,23.07.18,01.08.18,,,17.09.18,31,12,,0,30.10.18,07.11.18,,31.10.18,0,0,"235,000.00",1,1,1,jo,4,Komed,09.11.18,60 Ditë,,"8,850.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Valmire Mustafa
1,1,90,1,1,1,33,Furnizimi me pajisje mjekësore për QKMF dhe  QMU-lloto II,24.07.18,20.04.18,23.07.18,01.08.18,,,17.09.18,31,12,,5,30.10.18,07.11.18,,31.10.18,0,0,"235,000.00",1,1,1,jo,4,Komed,09.11.18,60-Dite,,"75,600.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Valmire Mustafa
1,1,90,1,1,1,33,Furnizimi me pajisje mjekësore për QKMF dhe  QMU-lloto III,24.07.18,20.04.18,23.07.18,01.08.18,,,17.09.18,31,12,,0,30.10.18,07.11.18,,31.10.18,0,0,"235,000.00",1,1,1,jo,4,Atomed,09.11.18,60-Dite,,"6,150.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Valmire Mustafa
1,1,90,1,1,1,33,Furnizimi me pajisje mjekësore për QKMF dhe QMU-lloto IV,24.07.18,20.04.18,23.07.18,01.08.18,,,17.09.18,31,12,,2,30.10.18,07.11.18,,31.10.18,0,0,"235,000.00",1,1,1,jo,4,Yesspharma,09.11.18,60-Dite,,"17,820.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Valmire Mustafa
1,1,90,1,1,1,33,Furnizimi me pajisje mjekësore për QKMF dhe  QMU-lloto V,24.07.18,20.04.18,23.07.18,01.08.18,,,17.09.18,31,12,,2,30.10.18,07.11.18,,31.10.18,1,0,"235,000.00",1,1,1,jo,4,Konti,09.11.18,60-Dite,,"10,586.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Valmire Mustafa
1,1,90,1,1,1,33,"Furnizimi me pajisje mjekësore për QKMF dhe  QMU-llotoVII, Vlll, IX",24.07.18,20.04.18,23.07.18,01.08.18,,,17.09.18,31,12,,0,30.10.18,07.11.18,,31.10.18,0,0,"235,000.00",1,1,1,jo,1,Letamed,12.11.18,60-Dite,,54845,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Valmire Mustafa
1,1,90,1,1,1,33,Furnizimi me pajisje mjekësore për QKMF dhe  QMU-lloto X,24.07.18,20.04.18,23.07.18,01.08.18,,,17.09.18,31,12,,0,30.10.18,07.11.18,,31.10.18,0,0,"235,000.00",1,1,1,jo,4,Matkos Pharm,09.11.18,60-Dite,,"6,635.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Valmire Mustafa
1,1,90,1,1,1,33,Furnizimi me pajisje mjekësore për QKMF dhe  QMU-lloto XI,24.07.18,20.04.18,23.07.18,01.08.18,,,18.09.18,31,12,,0,30.10.18,07.11.18,,31.10.18,0,0,"235,000.00",1,1,1,jo,4,Agani L.T.D,09.11.18,60-Dite,,"1,500.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Valmire Mustafa
,,59,1,2,1,,"Furnizim me pajisje elektronike, elektrike dhe mekanike",24.04.18,25.04.18,01.05.18,04.05.18,,,12.07.18,30,3,,1,22.06.18,04.07.18,,24.06.18,,,"24,000.00",1,1,1,jo,4,Oni Design,02.08.18,30 Ditë,,"21,206.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Shehide Jashari
,,137,2,1,2,,"Pastrimi dhe dezinfektimi i podrumeve dhe garazhave në rrugën ""B""",07.11.18,17.11.18,16.11.18,07.11.18,,,14.11.18,19,3,,0,15.11.18,21.11.18,,14.11.18,0,0,,1,1,1,,4,"""Niti-N"" Sh.P.K",23.11.18,5 Ditë,,"6,400.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Verona Sekiraqa 
1,1,119,2,2,1,93,Trajtimi i qenëve endacak,09.10.18,07.08.18,08.08.18,11.10.18,,,06.11.18,8,1,,0,24.11.18,29.11.18,,22.11.18,0,0,"100,000.00",1,1,1,,4,Qendra për trajtimin e kafshëve ,04.12.18,12 Muaj,,17.85,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Kaltrina Dalipi
,1,142,1,3,6,,"Organizimi i panairit ""Blej Shqip 2018""",07.11.18,08.11.18,12.11.18,13.11.18,1,,21.11.18,16,3,,0,21.11.18,26.11.18,,20.11.18,0,0,"9,950.00",1,1,1,,4,Compass IT sh.p.k,27.11.18,3 Ditë,,"6,777.00",0,,,,,,,,,05.12.18,,,,,,,,,,,NaN,Drejtoria e Planifikimit Strategjik dhe Zhvillim të Qëndrueshëm,Albina Bajrami
1,1,109,5,1,1,45,Vazhdimi i ndërtimit të rrugës Sharban-Koliq,15.08.18,24.08.18,03.09.18,06.09.18,,,18.10.18,46,7,,2,19.11.18,26.11.18,,19.11.18,,,"502,368.74",1,1,1,,4,"Grupi i Operatorëve Ekonomik ""Beni Construction sh.p.k & SB Construction sh.p.k""",29.11.18,90 Ditë,,"402,097.12",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Albina Bajrami
2,1,149,5,2,,45,Mirëmbajtja dimërore emergjente - procedurë e negociuar- Lot 1,20.11.18,20.11.18,19.11.18,20.11.18,,,23.11.18,6,6,,0,27.11.18,26.11.18,,25.11.18,0,0,"180,000.00",1,2,1,,4,Dardania,23.11.18,60 Ditë,,"25,276.23",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
2,1,149,5,2,,45,Mirëmbajtja dimërore emergjente - procedurë e negociuar- Lot 2,20.11.18,20.11.18,19.11.18,20.11.18,,,23.11.18,6,6,,0,27.11.18,26.11.18,,25.11.18,,,"180,000.00",1,2,1,,4,Toifor,23.11.18,60 Ditë,,"30,482.37",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
2,1,149,5,2,,45,Mirëmbajtja dimërore emergjente - procedurë e negociuar- Lot 3,20.11.18,20.11.18,19.11.18,20.11.18,,,23.11.18,6,6,,0,27.11.18,26.11.18,,25.11.18,0,0,"180,000.00",1,2,1,,4,VZ Company,23.11.18,60 Ditë,,"35,922.88",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
2,1,149,5,2,,45,Mirëmbajtja dimërore emergjente - procedurë e negociuar- Lot 4,20.11.18,20.11.18,19.11.18,20.11.18,,,23.11.18,6,6,,0,27.11.18,26.11.18,,25.11.18,0,0,"180,000.00",1,2,1,,4,VE mor sh.p.k,23.11.18,60 Ditë,,"22,062.07",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
2,1,149,5,2,,45,Mirëmbajtja dimërore emergjente - procedurë e negociuar- Lot 5,20.11.18,20.11.18,19.11.18,20.11.18,,,23.11.18,6,6,,0,27.11.18,26.11.18,,25.11.18,0,0,"180,000.00",1,2,1,,4,"Kompania Rajonale e mbeturinave ""Pastrimi""",23.11.18,60 Ditë,,"34,301.35",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
2,1,149,5,2,,45,Mirëmbajtja dimërore emergjente - procedurë e negociuar- Lot 6,20.11.18,20.11.18,19.11.18,20.11.18,,,23.11.18,6,6,,0,27.11.18,26.11.18,,25.11.18,0,0,"180,000.00",1,2,1,,4,Niti-N,23.11.18,60 Ditë,,"31,842.43",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
1,1,108,5,1,1,45,Ndërtimi i rrugës nga Flotacioni lagja Vakovc-Marevc ,15.08.18,25.08.18,28.08.18,07.09.18,,,16.10.18,43,10,,6,13.11.18,20.11.18,,12.11.18,0,0,"784,403.47",1,1,1,,4,"Grup i Operatorëve Ekonomik: N.T.P ""Bashkimi"", N.T. ""Rahovica Comerce"", Eko Group Sh.p.k",23.11.18,90 Ditë,,"572,778.14",15,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Nexhmi Mekolli
1,1,110,5,2,1,45,Rregullimi i varrezave të dëshmorëve në Viti të Marecit-Prishtinë,26.07.17,22.03.18,29.08.18,06.09.18,,,26.09.18,34,6,,2,01.11.18,06.11.18,,30.10.18,0,0,"498,750.29",1,1,1,jo,4,"Grup i Operatorëve Ekonomik ""Gama Ing"" & ""Delta-Ing"" & ""Graniti Com""",13.11.18,90 Ditë,,"420,041.49",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Nexhmi Mekolli
1,1,118,1,3,6,,Furnizimi me inventar për drejtorinë e pronës,25.09.18,25.09.18,07.10.18,10.10.18,,,19.10.18,0,3,,1,19.11.18,20.11.18,,14.11.18,0,0,"6,000.00",1,1,1,jo,4,A&F Construction,23.11.18,30 Ditë,,"5,830.70",1,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Pronës,Nexhmi Mekolli
2,1,126,5,2,,45,Sanimi i kanalizimit fekal (ujërave të zeza) në rrugën B,19.10.18,22.10.18,21.10.18,23.10.18,,,24.10.18,1,1,,0,24.10.18,24.10.18,,23.10.18,0,0,"24,402.00",1,1,1,jo,4,Toifor,25.10.18,10 Ditë,,"24,402.00",1,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Nexhmi Mekolli
2,1,68,5,2,1,45,"Rikonstruimi i rrugëve ""Holgen Petersen"" dhe ""Ulëza"" - Ritender",22.05.18,31.05.18,22.05.18,27.09.18,,,17.10.18,31,4,,0,07.11.18,15.11.18,,04.11.18,0,0,"194,361.00",1,1,1,Po,4,Bageri,22.11.18,60 Ditë,,"153,598.30",3,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Nexhmi Mekolli
2,1,85,5,2,1,45,Renovimi i garazhes së Trafikut Urban faza II,29.06.18,02.07.18,14.07.18,17.07.18,,,24.07.18,3,3,,0,06.08.18,08.08.18,,07.08.18,0,0,"397,277.75",1,2,1,,4,Krapi Com,10.08.18,30 Ditë,,"382,720.00",0,,,,,,,,,21.09.18,"100,000.00",10.10.18,"100,000.00",,,,,,31.10.18,100000,"300,000.00",Drejtoria e Shërbimeve Publike,Shqipe Isufi
,1,103,2,1,2,,Inçizimet Gjeodezike për zonat Çagllavicë dhe Hajvali,01.08.18,13.08.18,14.08.18,22.08.18,2,,18.09.18,44,5,,0,19.10.18,12.11.18,,21.10.18,,,"75,000.00",1,1,1,,4,"Konzorcium ""Geocad"" & ""Ges Plan""",16.11.18,90 ,,"48,991.92",1,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kadastrit,Shehide Jashari
2,1,113,1,1,1,31,Furnizimi dhe montimi me pajisje për Qendrën Kulturore Kino Armata,20.08.18,20.08.18,13.09.18,18.09.18,,,31.10.18,14,1,,0,15.11.18,29.11.18,,21.11.18,0,0,"150,000.00",1,1,1,jo,4,"Grup i Operatorëve ""AVC GRoup"" & ""TSE, d.o.o., Ljubljana P.N.""",06.12.18,60 Ditë,,"147,980.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Kaltrina Dalipi
1,1,45,2,1,1,,Transporti i nxënësve dhe arsimtarëve - Lot 1 - Ritender,18.07.18,08.10.18,19.09.18,20.07.18,,,31.08.18,0,19,,2,08.10.18,18.10.18,,09.10.18,0,0,"7,254.00",1,1,1,Po,4,"Minibus ""Besim Brahimi""",12.10.18,"12,Muaj",,"7,254.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
1,1,45,2,1,1,,Transporti i nxënësve dhe arsimtarëve - Lot 2 - Ritender,18.07.18,08.10.18,19.09.18,20.07.18,,,31.08.18,0,19,,2,08.10.18,18.10.18,,09.10.18,0,0,"13,950.00",1,1,1,Po,4,"Minibus ""Kobra""",12.10.18,"12,Muaj",,"13,950.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
1,1,45,2,1,1,,Transporti i nxënësve dhe arsimtarëve - Lot 3 dhe 4 - Ritender,18.07.18,08.10.18,19.09.18,20.07.18,,,31.08.18,0,19,,2,08.10.18,18.10.18,,09.10.18,0,0,"Lot 3: 8,148.00  & Lot 4: 13,392.00",1,1,1,Po,4,"Minibus ""Musli Ahmeti""",12.10.18,"12,Muaj",,"Lot 3: 8,148.00  & Lot 4: 13,392.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
1,1,45,2,1,1,,Transporti i nxënësve dhe arsimtarëve - Lot 5 dhe 6 - Ritender,18.07.18,08.10.18,19.09.18,20.07.18,,,31.08.18,0,19,,2,08.10.18,18.10.18,,09.10.18,0,0,"Lot 5: 18,600.00 & Lot 6: 9,300.00",1,1,1,Po,4,"Minibus ""Sherif Vitija""",12.10.18,"12,Muaj",,"Lot 5: 18,600.00 & Lot 6: 9,300.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
1,1,45,2,1,1,,Transporti i nxënësve dhe arsimtarëve - Lot 7 dhe 19 - Ritender,18.07.18,08.10.18,19.09.18,20.07.18,,,31.08.18,0,19,,2,08.10.18,18.10.18,,09.10.18,0,0,"Lot 7: 7,254.00 & Lot 19: 5,208.00  ",1,1,1,Po,4,"Minibus ""Tempo Trans""",12.10.18,"12,Muaj",,"Lot 7: 7,254.00 & Lot 19: 5,208.00  ",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
1,1,45,2,1,1,,"Transporti i nxënësve dhe arsimtarëve - Lot 8,9,10 dhe 11 - Ritender",18.07.18,08.10.18,19.09.18,20.07.18,,,31.08.18,0,19,,2,08.10.18,18.10.18,,09.10.18,0,0," Lot 8: 14,322.00 & Lot 9: 14,508.00 & Lot10: 12,834.00 & Lot 11: 23,622.00 ",1,1,1,Po,4,"Minibus ""Simolli Tours""",12.10.18,"12,Muaj",," Lot 8: 14,322.00 & Lot 9: 14,508.00 & Lot10: 12,834.00 & Lot 11: 23,622.00 ",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
1,1,45,2,1,1,,Transporti i nxënësve dhe arsimtarëve - Lot 12 dhe 13 - Ritender,18.07.18,08.10.18,19.09.18,20.07.18,,,31.08.18,0,19,,2,08.10.18,18.10.18,,09.10.18,0,0," Lot 12: 14,787.00 & Lot 13: 6,510.00  ",1,1,1,Po,1,"Minibus ""Ramadan Kllokoqi""",12.10.18,"12,Muaj",,,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
1,1,45,2,1,1,,Transporti i nxënësve dhe arsimtarëve - Lot 14 - Ritender,18.07.18,08.10.18,19.09.18,20.07.18,,,31.08.18,0,19,,2,08.10.18,18.10.18,,09.10.18,0,0,"16,554.00",1,1,1,Po,4,"Minibus ""Albing""",12.10.18,"12,Muaj",,"16,554.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
1,1,45,2,1,1,,Transporti i nxënësve dhe arsimtarëve - Lot 15 - Ritender,18.07.18,08.10.18,19.09.18,20.07.18,,,31.08.18,0,19,,2,08.10.18,18.10.18,,09.10.18,0,0,"14,787.00",1,1,1,Po,4,"Minibus ""Drini""",12.10.18,"12,Muaj",,"14,787.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
